stage_index,stage_name,i,x[m],dx[m],qprime[W/m],UA_prime[W/K/m],Tgw[K],Tww[K],boiling,gas_T[K],gas_P[Pa],water_h[J/kg],water_P[Pa],water_T[K],water_x[-]
2,HX_3,32,3.3166666666666664,0.10364583333333333,49628.72737081217,41.33859092077438,585.8277689811682,585.8277689811681,True,1653.5375828065003,115000.0,762637.8000073852,1000000,453.02540687756846,
2,HX_3,33,3.4203124999999996,0.10364583333333333,49611.98373366319,41.33850076084121,585.7991770066892,585.7991770066893,True,1653.1513339637856,115000.0,763152.1810879472,1000000,453.0356323914666,0.00023298659823183234
2,HX_3,34,3.523958333333333,0.10364583333333333,49595.87291170548,41.33840809423102,585.7569688888816,585.7569688888816,True,1652.7651999285886,115000.0,763666.3886276868,1000000,453.0356323914666,0.00048824780422417296
2,HX_3,35,3.6276041666666665,0.10364583333333333,49579.801531304714,41.33831519309043,585.7140066656198,585.7140066656195,True,1652.379175784349,115000.0,764180.4291854695,1000000,453.0356323914666,0.0007434261175858559
2,HX_3,36,3.7312499999999997,0.10364583333333333,49563.73664227966,41.33822224185996,585.671014827583,585.6710148275831,True,1651.9932612324533,115000.0,764694.3031700909,1000000,453.0356323914666,0.000998521741249756
2,HX_3,37,3.834895833333333,0.10364583333333333,49547.676430735395,41.33812926546511,585.6280338248143,585.6280338248142,True,1651.6074562307356,115000.0,765208.0106488311,1000000,453.0356323914666,0.0012535347086149154
2,HX_3,38,3.9385416666666666,0.10364583333333333,49531.62080501243,41.338036273402224,585.5850657143274,585.5850657143275,True,1651.221760751145,115000.0,765721.5516701705,1000000,453.0356323914666,0.0015084650437477295
2,HX_3,39,4.0421875,0.10364583333333333,49515.569765249595,41.33794327127419,585.5421104724144,585.5421104724144,True,1650.8361747663412,115000.0,766234.9262816391,1000000,453.0356323914666,0.0017633127702429648
2,HX_3,40,4.145833333333333,0.10364583333333333,49499.52331461392,41.337850262835325,585.4991680027246,585.4991680027247,True,1650.4506982489813,115000.0,766748.1345307685,1000000,453.0356323914666,0.002018077911696024
2,HX_3,41,4.249479166666666,0.10364583333333333,49483.481455222005,41.3377572507666,585.4562382310908,585.4562382310908,True,1650.0653311716953,115000.0,767261.1764651231,1000000,453.0356323914666,0.002272760491718722
2,HX_3,42,4.3531249999999995,0.10364583333333333,49467.44418835909,41.337664237069234,585.4133211012663,585.4133211012664,True,1649.6800735070947,115000.0,767774.0521322892,1000000,453.0356323914666,0.0025273605339336805
2,HX_3,43,4.456770833333333,0.10364583333333333,49451.411514745385,41.33757122328813,585.3704165692076,585.3704165692075,True,1649.2949252277792,115000.0,768286.7615798664,1000000,453.0356323914666,0.0027818780619701675
2,HX_3,44,4.560416666666667,0.10364583333333333,49435.3834347057,41.33747821064827,585.3275245994083,585.3275245994084,True,1648.9098863063405,115000.0,768799.3048554619,1000000,453.0356323914666,0.0030363130994611495
2,HX_3,45,4.6640625,0.10364583333333333,49419.35994827838,41.33738520014213,585.2846451625496,585.2846451625495,True,1648.524956715365,115000.0,769311.6820066862,1000000,453.0356323914666,0.003290665670041268
2,HX_3,46,4.767708333333333,0.10364583333333333,49403.34105528833,41.337292192588485,585.2417782339255,585.2417782339256,True,1648.1401364274384,115000.0,769823.8930811501,1000000,453.0356323914666,0.0035449357973453394
2,HX_3,47,4.871354166666666,0.10364583333333333,49387.32675539711,41.33719918867301,585.1989237923581,585.1989237923581,True,1647.7554254151437,115000.0,770335.9381264627,1000000,453.0356323914666,0.0037991235050073117
3,HX_4,0,0.0,0.04,977689.4587391787,744.5666367331548,657.630694104331,589.3816052321919,True,1647.3708236510652,115000.0,685658.5646839265,1000000,435.42216045283305,
3,HX_4,1,0.04,0.04,805584.9120200672,648.060299130411,550.6949000469767,546.8515539768674,True,1644.431952828191,115000.0,689569.3225188833,1000000,436.32224711185967,
3,HX_4,2,0.08,0.04,773155.6774354102,639.2585358734017,542.312677660412,542.0962453349591,True,1642.0097367723797,115000.0,692791.6621669636,1000000,437.063452197628,
3,HX_4,3,0.12,0.04,766389.8100061566,637.2636346054252,541.8459468605705,541.8337587956275,True,1639.6844485791485,115000.0,695884.2848767051,1000000,437.77444448552313,
3,HX_4,4,0.16,0.04,762496.4366629554,635.8181103644916,542.0093452858932,542.0086589331188,True,1637.3789470900645,115000.0,698949.8441167298,1000000,438.47884917280805,
3,HX_4,5,0.2,0.04,758901.6492437857,634.4239292376195,542.222741580139,542.2227029292018,True,1635.0846013248354,115000.0,701999.8298633816,1000000,439.1793110698828,
